Release 8.1i - Fit P.68d
Copyright(c) 1995-2003 Xilinx Inc. All rights reserved

 1-14-2016 11:26AM

NOTE: This file is designed to be imported into a spreadsheet program
such as Microsoft Excel for viewing, printing and sorting. The comma ','
character is used as the data field separator.
This file is also designed to support parsing.

Input file:  control.ngd
output file: control_pad.csv
Part type:   xc95144xl
Speed grade: -10
Package:     tq100

Pinout by Pin Number:

-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,{blank},Slew Rate,Termination,{blank},Voltage,Constraint,
P1,A40<1>,I,I/O/GTS3,INPUT,,,,,,,,,
P2,SCLK,O,I/O/GTS4,OUTPUT,,,,,,,,,
P3,ICACHE,O,I/O/GTS1,OUTPUT,,,,,,,,,
P4,SEL16M,I,I/O/GTS2,INPUT,,,,,,,,,
P5,VCC,,VCCINT,,,,,,,,,,
P6,CLK_RAMC,O,I/O,OUTPUT,,,,,,,,,
P7,AL<1>,O,I/O,OUTPUT,,,,,,,,,
P8,AL<0>,O,I/O,OUTPUT,,,,,,,,,
P9,A30_LE,O,I/O,OUTPUT,,,,,,,,,
P10,OE_BS,O,I/O,OUTPUT,,,,,,,,,
P11,BWL_BS<2>,O,I/O,OUTPUT,,,,,,,,,
P12,BWL_BS<0>,O,I/O,OUTPUT,,,,,,,,,
P13,BWL_BS<1>,O,I/O,OUTPUT,,,,,,,,,
P14,CLK_BS,O,I/O,OUTPUT,,,,,,,,,
P15,DIR_BS,O,I/O,OUTPUT,,,,,,,,,
P16,LE_BS,O,I/O,OUTPUT,,,,,,,,,
P17,BR30,I,I/O,INPUT,,,,,,,,,
P18,IPL30<1>,I,I/O,INPUT,,,,,,,,,
P19,IPL30<0>,I,I/O,INPUT,,,,,,,,,
P20,IPL30<2>,I,I/O,INPUT,,,,,,,,,
P21,GND,,GND,,,,,,,,,,
P22,PLL_CLK,GCK,I/O/GCK1,,,,,,,,,,
P23,TIE,,I/O/GCK2,,,,,,,,,,
P24,BG30,O,I/O,OUTPUT,,,,,,,,,
P25,TIE,,I/O,,,,,,,,,,
P26,VCC,,VCCIO,,,,,,,,,,
P27,A40<0>,I,I/O/GCK3,INPUT,,,,,,,,,
P28,BGACK30,I,I/O,INPUT,,,,,,,,,
P29,FC30<1>,O,I/O,OUTPUT,,,,,,,,,
P30,FC30<0>,O,I/O,OUTPUT,,,,,,,,,
P31,GND,,GND,,,,,,,,,,
P32,TIE,,I/O,,,,,,,,,,
P33,FC30<2>,O,I/O,OUTPUT,,,,,,,,,
P34,TIE,,I/O,,,,,,,,,,
P35,DSACK30<1>,I,I/O,INPUT,,,,,,,,,
P36,DSACK30<0>,I,I/O,INPUT,,,,,,,,,
P37,HALT30,I,I/O,INPUT,,,,,,,,,
